Date,daily_trend
2019-12-01,87
2019-12-02,100
2019-12-03,95
2019-12-04,88
2019-12-05,91
2019-12-06,88
2019-12-07,84
2019-12-08,81
2019-12-09,93
2019-12-10,87
2019-12-11,88
2019-12-12,91
2019-12-13,90
2019-12-14,79
2019-12-15,77
2019-12-16,92
2019-12-17,89
2019-12-18,83
2019-12-19,84
2019-12-20,80
2019-12-21,68
2019-12-22,66
2019-12-23,83
2019-12-24,72
2019-12-25,80
2019-12-26,79
2019-12-27,80
2019-12-28,78
2019-12-29,72
2019-12-30,79
2019-12-31,67
2020-01-01,68
2020-01-02,82
2020-01-03,89
2020-01-04,77
2020-01-05,78
2020-01-06,91
2020-01-07,90
2020-01-08,94
2020-01-09,92
2020-01-10,90
2020-01-11,76
2020-01-12,81
2020-01-13,90
2020-01-14,94
2020-01-15,94
2020-01-16,100
2020-01-17,91
2020-01-18,81
2020-01-19,78
2020-01-20,93
2020-01-21,98
2020-01-22,100
2020-01-23,91
2020-01-24,91
2020-01-25,73
2020-01-26,72
2020-01-27,90
2020-01-28,97
2020-01-29,92
2020-01-30,90
2020-01-31,89
2020-02-01,70
2020-02-02,62
2020-02-03,77
2020-02-04,86
2020-02-05,81
2020-02-06,86
2020-02-07,81
2020-02-08,70
2020-02-09,69
2020-02-10,81
2020-02-11,87
2020-02-12,83
2020-02-13,91
2020-02-14,78
2020-02-15,71
2020-02-16,67
2020-02-17,85
2020-02-18,93
2020-02-19,94
2020-02-20,89
2020-02-21,86
2020-02-22,71
2020-02-23,71
2020-02-24,88
2020-02-25,93
2020-02-26,91
2020-02-27,100
2020-02-28,95
2020-02-29,75
2020-03-01,6
2020-03-02,8
2020-03-03,8
2020-03-04,8
2020-03-05,9
2020-03-06,8
2020-03-07,7
2020-03-08,7
2020-03-09,10
2020-03-10,11
2020-03-11,13
2020-03-12,15
2020-03-13,18
2020-03-14,14
2020-03-15,17
2020-03-16,34
2020-03-17,42
2020-03-18,50
2020-03-19,54
2020-03-20,55
2020-03-21,45
2020-03-22,50
2020-03-23,80
2020-03-24,84
2020-03-25,82
2020-03-26,89
2020-03-27,83
2020-03-28,68
2020-03-29,65
2020-03-30,96
2020-03-31,100
2020-04-01,98
2020-04-02,94
2020-04-03,100
2020-04-04,70
2020-04-05,67
2020-04-06,92
2020-04-07,87
2020-04-08,84
2020-04-09,79
2020-04-10,72
2020-04-11,59
2020-04-12,60
2020-04-13,70
2020-04-14,76
2020-04-15,78
2020-04-16,81
2020-04-17,78
2020-04-18,61
2020-04-19,55
2020-04-20,76
2020-04-21,78
2020-04-22,79
2020-04-23,75
2020-04-24,73
2020-04-25,54
2020-04-26,50
2020-04-27,68
2020-04-28,69
2020-04-29,70
2020-04-30,67
2020-05-01,92
2020-05-02,79
2020-05-03,74
2020-05-04,97
2020-05-05,95
2020-05-06,97
2020-05-07,100
2020-05-08,93
2020-05-09,72
2020-05-10,65
2020-05-11,92
2020-05-12,94
2020-05-13,97
2020-05-14,92
2020-05-15,88
2020-05-16,65
2020-05-17,65
2020-05-18,82
2020-05-19,83
2020-05-20,84
2020-05-21,79
2020-05-22,75
2020-05-23,55
2020-05-24,50
2020-05-25,55
2020-05-26,71
2020-05-27,74
2020-05-28,78
2020-05-29,71
2020-05-30,52
2020-05-31,48
2020-06-01,98
2020-06-02,100
2020-06-03,99
2020-06-04,96
2020-06-05,88
2020-06-06,63
2020-06-07,57
2020-06-08,83
2020-06-09,86
2020-06-10,87
2020-06-11,88
2020-06-12,81
2020-06-13,58
2020-06-14,53
2020-06-15,77
2020-06-16,85
2020-06-17,81
2020-06-18,82
2020-06-19,81
2020-06-20,56
2020-06-21,48
2020-06-22,77
2020-06-23,76
2020-06-24,76
2020-06-25,77
2020-06-26,67
2020-06-27,51
2020-06-28,44
2020-06-29,70
2020-06-30,73
2020-07-01,95
2020-07-02,92
2020-07-03,80
2020-07-04,65
2020-07-05,59
2020-07-06,89
2020-07-07,93
2020-07-08,96
2020-07-09,92
2020-07-10,86
2020-07-11,67
2020-07-12,66
2020-07-13,94
2020-07-14,100
2020-07-15,95
2020-07-16,93
2020-07-17,85
2020-07-18,67
2020-07-19,60
2020-07-20,90
2020-07-21,94
2020-07-22,92
2020-07-23,91
2020-07-24,81
2020-07-25,61
2020-07-26,57
2020-07-27,87
2020-07-28,86
2020-07-29,86
2020-07-30,87
2020-07-31,74
2020-08-01,36
2020-08-02,33
2020-08-03,51
2020-08-04,55
2020-08-05,55
2020-08-06,54
2020-08-07,50
2020-08-08,38
2020-08-09,34
2020-08-10,56
2020-08-11,62
2020-08-12,62
2020-08-13,63
2020-08-14,58
2020-08-15,37
2020-08-16,38
2020-08-17,70
2020-08-18,73
2020-08-19,71
2020-08-20,75
2020-08-21,66
2020-08-22,40
2020-08-23,40
2020-08-24,100
2020-08-25,81
2020-08-26,78
2020-08-27,77
2020-08-28,70
2020-08-29,40
2020-08-30,41
2020-08-31,80
2020-09-01,100
2020-09-02,96
2020-09-03,89
2020-09-04,78
2020-09-05,45
2020-09-06,40
2020-09-07,63
2020-09-08,99
2020-09-09,89
2020-09-10,91
2020-09-11,77
2020-09-12,45
2020-09-13,43
2020-09-14,85
2020-09-15,85
2020-09-16,82
2020-09-17,84
2020-09-18,76
2020-09-19,44
2020-09-20,43
2020-09-21,84
2020-09-22,89
2020-09-23,86
2020-09-24,84
2020-09-25,69
2020-09-26,42
2020-09-27,38
2020-09-28,68
2020-09-29,74
2020-09-30,74
2020-10-01,96
2020-10-02,85
2020-10-03,56
2020-10-04,54
2020-10-05,99
2020-10-06,97
2020-10-07,100
2020-10-08,94
2020-10-09,72
2020-10-10,50
2020-10-11,47
2020-10-12,73
2020-10-13,85
2020-10-14,87
2020-10-15,86
2020-10-16,71
2020-10-17,50
2020-10-18,47
2020-10-19,83
2020-10-20,94
2020-10-21,89
2020-10-22,85
2020-10-23,70
2020-10-24,48
2020-10-25,45
2020-10-26,76
2020-10-27,81
2020-10-28,80
2020-10-29,76
2020-10-30,72
2020-10-31,48
2020-11-01,54
2020-11-02,88
2020-11-03,88
2020-11-04,81
2020-11-05,86
2020-11-06,82
2020-11-07,59
2020-11-08,56
2020-11-09,97
2020-11-10,98
2020-11-11,95
2020-11-12,100
2020-11-13,85
2020-11-14,60
2020-11-15,57
2020-11-16,89
2020-11-17,95
2020-11-18,100
2020-11-19,95
2020-11-20,86
2020-11-21,63
2020-11-22,61
2020-11-23,95
2020-11-24,94
2020-11-25,92
2020-11-26,94
2020-11-27,83
2020-11-28,61
2020-11-29,55
2020-11-30,92
2020-12-01,100
2020-12-02,98
2020-12-03,97
2020-12-04,90
2020-12-05,63
2020-12-06,57
2020-12-07,90
2020-12-08,89
2020-12-09,96
2020-12-10,95
2020-12-11,86
2020-12-12,61
2020-12-13,55
2020-12-14,92
2020-12-15,90
2020-12-16,93
2020-12-17,96
2020-12-18,86
2020-12-19,61
2020-12-20,55
2020-12-21,74
2020-12-22,74
2020-12-23,69
2020-12-24,67
2020-12-25,77
2020-12-26,53
2020-12-27,50
2020-12-28,55
2020-12-29,58
2020-12-30,56
2020-12-31,56
2021-01-01,43
2021-01-02,43
2021-01-03,47
2021-01-04,76
2021-01-05,80
2021-01-06,80
2021-01-07,84
2021-01-08,80
2021-01-09,60
2021-01-10,61
2021-01-11,94
2021-01-12,99
2021-01-13,96
2021-01-14,98
2021-01-15,91
2021-01-16,62
2021-01-17,59
2021-01-18,85
2021-01-19,97
2021-01-20,100
2021-01-21,96
2021-01-22,90
2021-01-23,61
2021-01-24,58
2021-01-25,91
2021-01-26,95
2021-01-27,91
2021-01-28,97
2021-01-29,85
2021-01-30,63
2021-01-31,60
2021-02-01,87
2021-02-02,91
2021-02-03,91
2021-02-04,90
2021-02-05,85
2021-02-06,59
2021-02-07,49
2021-02-08,78
2021-02-09,89
2021-02-10,100
2021-02-11,89
2021-02-12,81
2021-02-13,58
2021-02-14,51
2021-02-15,76
2021-02-16,82
2021-02-17,85
2021-02-18,87
2021-02-19,79
2021-02-20,59
2021-02-21,54
2021-02-22,82
2021-02-23,86
2021-02-24,86
2021-02-25,84
2021-02-26,76
2021-02-27,57
2021-02-28,49
2021-03-01,93
2021-03-02,100
2021-03-03,96
2021-03-04,97
2021-03-05,81
2021-03-06,60
2021-03-07,56
2021-03-08,86
2021-03-09,93
2021-03-10,92
2021-03-11,90
2021-03-12,82
2021-03-13,58
2021-03-14,54
2021-03-15,78
2021-03-16,86
2021-03-17,90
2021-03-18,90
2021-03-19,78
2021-03-20,57
2021-03-21,53
2021-03-22,82
2021-03-23,87
2021-03-24,91
2021-03-25,87
2021-03-26,80
2021-03-27,63
2021-03-28,51
2021-03-29,74
2021-03-30,74
2021-03-31,76
2021-04-01,75
2021-04-02,55
2021-04-03,49
2021-04-04,45
2021-04-05,76
2021-04-06,88
2021-04-07,88
2021-04-08,91
2021-04-09,79
2021-04-10,56
2021-04-11,54
2021-04-12,89
2021-04-13,94
2021-04-14,93
2021-04-15,92
2021-04-16,87
2021-04-17,60
2021-04-18,51
2021-04-19,93
2021-04-20,100
2021-04-21,96
2021-04-22,97
2021-04-23,83
2021-04-24,57
2021-04-25,54
2021-04-26,90
2021-04-27,95
2021-04-28,95
2021-04-29,89
2021-04-30,80
2021-05-01,53
2021-05-02,55
2021-05-03,89
2021-05-04,95
2021-05-05,98
2021-05-06,100
2021-05-07,91
2021-05-08,61
2021-05-09,53
2021-05-10,95
2021-05-11,96
2021-05-12,93
2021-05-13,86
2021-05-14,82
2021-05-15,58
2021-05-16,56
2021-05-17,97
2021-05-18,99
2021-05-19,99
2021-05-20,95
2021-05-21,85
2021-05-22,60
2021-05-23,56
2021-05-24,86
2021-05-25,89
2021-05-26,95
2021-05-27,96
2021-05-28,81
2021-05-29,62
2021-05-30,54
2021-05-31,76
2021-06-01,95
2021-06-02,99
2021-06-03,96
2021-06-04,83
2021-06-05,67
2021-06-06,61
2021-06-07,86
2021-06-08,100
2021-06-09,99
2021-06-10,96
2021-06-11,89
2021-06-12,63
