Date,daily_trend
2019-12-01,79
2019-12-02,57
2019-12-03,54
2019-12-04,56
2019-12-05,55
2019-12-06,60
2019-12-07,70
2019-12-08,76
2019-12-09,58
2019-12-10,56
2019-12-11,55
2019-12-12,57
2019-12-13,64
2019-12-14,76
2019-12-15,80
2019-12-16,61
2019-12-17,63
2019-12-18,61
2019-12-19,66
2019-12-20,85
2019-12-21,90
2019-12-22,96
2019-12-23,82
2019-12-24,80
2019-12-25,97
2019-12-26,96
2019-12-27,94
2019-12-28,98
2019-12-29,100
2019-12-30,89
2019-12-31,82
2020-01-01,100
2020-01-02,92
2020-01-03,82
2020-01-04,94
2020-01-05,96
2020-01-06,77
2020-01-07,68
2020-01-08,61
2020-01-09,62
2020-01-10,67
2020-01-11,82
2020-01-12,82
2020-01-13,63
2020-01-14,58
2020-01-15,61
2020-01-16,59
2020-01-17,65
2020-01-18,79
2020-01-19,86
2020-01-20,66
2020-01-21,61
2020-01-22,61
2020-01-23,59
2020-01-24,65
2020-01-25,79
2020-01-26,80
2020-01-27,60
2020-01-28,55
2020-01-29,53
2020-01-30,56
2020-01-31,61
2020-02-01,97
2020-02-02,100
2020-02-03,71
2020-02-04,67
2020-02-05,65
2020-02-06,66
2020-02-07,76
2020-02-08,90
2020-02-09,98
2020-02-10,73
2020-02-11,67
2020-02-12,66
2020-02-13,66
2020-02-14,74
2020-02-15,92
2020-02-16,94
2020-02-17,75
2020-02-18,66
2020-02-19,65
2020-02-20,65
2020-02-21,73
2020-02-22,87
2020-02-23,93
2020-02-24,72
2020-02-25,68
2020-02-26,65
2020-02-27,68
2020-02-28,76
2020-02-29,91
2020-03-01,52
2020-03-02,38
2020-03-03,34
2020-03-04,34
2020-03-05,35
2020-03-06,38
2020-03-07,46
2020-03-08,49
2020-03-09,37
2020-03-10,34
2020-03-11,34
2020-03-12,36
2020-03-13,48
2020-03-14,64
2020-03-15,71
2020-03-16,51
2020-03-17,58
2020-03-18,65
2020-03-19,71
2020-03-20,78
2020-03-21,95
2020-03-22,94
2020-03-23,76
2020-03-24,75
2020-03-25,77
2020-03-26,73
2020-03-27,78
2020-03-28,96
2020-03-29,100
2020-03-30,74
2020-03-31,74
2020-04-01,76
2020-04-02,77
2020-04-03,95
2020-04-04,100
2020-04-05,99
2020-04-06,74
2020-04-07,69
2020-04-08,68
2020-04-09,73
2020-04-10,84
2020-04-11,91
2020-04-12,91
2020-04-13,76
2020-04-14,67
2020-04-15,65
2020-04-16,66
2020-04-17,72
2020-04-18,90
2020-04-19,90
2020-04-20,70
2020-04-21,67
2020-04-22,67
2020-04-23,65
2020-04-24,70
2020-04-25,86
2020-04-26,85
2020-04-27,69
2020-04-28,63
2020-04-29,64
2020-04-30,63
2020-05-01,88
2020-05-02,100
2020-05-03,100
2020-05-04,75
2020-05-05,70
2020-05-06,67
2020-05-07,67
2020-05-08,73
2020-05-09,86
2020-05-10,86
2020-05-11,65
2020-05-12,62
2020-05-13,61
2020-05-14,62
2020-05-15,68
2020-05-16,83
2020-05-17,82
2020-05-18,62
2020-05-19,60
2020-05-20,58
2020-05-21,60
2020-05-22,66
2020-05-23,82
2020-05-24,84
2020-05-25,70
2020-05-26,62
2020-05-27,58
2020-05-28,58
2020-05-29,61
2020-05-30,74
2020-05-31,77
2020-06-01,74
2020-06-02,70
2020-06-03,68
2020-06-04,70
2020-06-05,76
2020-06-06,91
2020-06-07,96
2020-06-08,72
2020-06-09,70
2020-06-10,75
2020-06-11,76
2020-06-12,80
2020-06-13,93
2020-06-14,94
2020-06-15,72
2020-06-16,70
2020-06-17,67
2020-06-18,69
2020-06-19,73
2020-06-20,87
2020-06-21,88
2020-06-22,70
2020-06-23,65
2020-06-24,70
2020-06-25,70
2020-06-26,75
2020-06-27,95
2020-06-28,100
2020-06-29,79
2020-06-30,72
2020-07-01,77
2020-07-02,76
2020-07-03,84
2020-07-04,93
2020-07-05,100
2020-07-06,79
2020-07-07,79
2020-07-08,73
2020-07-09,75
2020-07-10,80
2020-07-11,93
2020-07-12,98
2020-07-13,76
2020-07-14,75
2020-07-15,71
2020-07-16,77
2020-07-17,81
2020-07-18,91
2020-07-19,99
2020-07-20,77
2020-07-21,74
2020-07-22,73
2020-07-23,74
2020-07-24,81
2020-07-25,94
2020-07-26,100
2020-07-27,76
2020-07-28,72
2020-07-29,72
2020-07-30,69
2020-07-31,75
2020-08-01,91
2020-08-02,98
2020-08-03,77
2020-08-04,73
2020-08-05,69
2020-08-06,70
2020-08-07,76
2020-08-08,88
2020-08-09,94
2020-08-10,72
2020-08-11,69
2020-08-12,69
2020-08-13,68
2020-08-14,75
2020-08-15,93
2020-08-16,95
2020-08-17,77
2020-08-18,70
2020-08-19,68
2020-08-20,78
2020-08-21,86
2020-08-22,97
2020-08-23,97
2020-08-24,74
2020-08-25,71
2020-08-26,69
2020-08-27,70
2020-08-28,77
2020-08-29,90
2020-08-30,100
2020-08-31,74
2020-09-01,66
2020-09-02,66
2020-09-03,64
2020-09-04,68
2020-09-05,83
2020-09-06,87
2020-09-07,73
2020-09-08,67
2020-09-09,63
2020-09-10,69
2020-09-11,82
2020-09-12,100
2020-09-13,100
2020-09-14,77
2020-09-15,70
2020-09-16,69
2020-09-17,70
2020-09-18,75
2020-09-19,86
2020-09-20,94
2020-09-21,69
2020-09-22,65
2020-09-23,68
2020-09-24,64
2020-09-25,70
2020-09-26,86
2020-09-27,86
2020-09-28,63
2020-09-29,62
2020-09-30,58
2020-10-01,68
2020-10-02,76
2020-10-03,95
2020-10-04,93
2020-10-05,69
2020-10-06,67
2020-10-07,70
2020-10-08,66
2020-10-09,71
2020-10-10,89
2020-10-11,91
2020-10-12,73
2020-10-13,66
2020-10-14,66
2020-10-15,66
2020-10-16,72
2020-10-17,87
2020-10-18,93
2020-10-19,70
2020-10-20,66
2020-10-21,69
2020-10-22,67
2020-10-23,74
2020-10-24,97
2020-10-25,98
2020-10-26,73
2020-10-27,70
2020-10-28,68
2020-10-29,69
2020-10-30,81
2020-10-31,100
2020-11-01,99
2020-11-02,75
2020-11-03,63
2020-11-04,51
2020-11-05,56
2020-11-06,67
2020-11-07,85
2020-11-08,87
2020-11-09,63
2020-11-10,63
2020-11-11,67
2020-11-12,68
2020-11-13,77
2020-11-14,94
2020-11-15,100
2020-11-16,69
2020-11-17,68
2020-11-18,65
2020-11-19,66
2020-11-20,72
2020-11-21,91
2020-11-22,95
2020-11-23,69
2020-11-24,65
2020-11-25,66
2020-11-26,65
2020-11-27,72
2020-11-28,88
2020-11-29,87
2020-11-30,67
2020-12-01,52
2020-12-02,55
2020-12-03,55
2020-12-04,67
2020-12-05,96
2020-12-06,88
2020-12-07,62
2020-12-08,58
2020-12-09,54
2020-12-10,55
2020-12-11,62
2020-12-12,79
2020-12-13,78
2020-12-14,58
2020-12-15,56
2020-12-16,57
2020-12-17,60
2020-12-18,65
2020-12-19,77
2020-12-20,80
2020-12-21,66
2020-12-22,66
2020-12-23,66
2020-12-24,68
2020-12-25,94
2020-12-26,97
2020-12-27,100
2020-12-28,81
2020-12-29,77
2020-12-30,74
2020-12-31,73
2021-01-01,100
2021-01-02,95
2021-01-03,90
2021-01-04,68
2021-01-05,64
2021-01-06,64
2021-01-07,60
2021-01-08,67
2021-01-09,81
2021-01-10,85
2021-01-11,61
2021-01-12,59
2021-01-13,59
2021-01-14,62
2021-01-15,68
2021-01-16,83
2021-01-17,82
2021-01-18,64
2021-01-19,61
2021-01-20,60
2021-01-21,60
2021-01-22,65
2021-01-23,85
2021-01-24,84
2021-01-25,63
2021-01-26,60
2021-01-27,57
2021-01-28,59
2021-01-29,66
2021-01-30,84
2021-01-31,85
2021-02-01,78
2021-02-02,69
2021-02-03,71
2021-02-04,68
2021-02-05,75
2021-02-06,91
2021-02-07,95
2021-02-08,66
2021-02-09,67
2021-02-10,67
2021-02-11,69
2021-02-12,82
2021-02-13,96
2021-02-14,100
2021-02-15,80
2021-02-16,73
2021-02-17,68
2021-02-18,69
2021-02-19,75
2021-02-20,93
2021-02-21,96
2021-02-22,69
2021-02-23,63
2021-02-24,62
2021-02-25,63
2021-02-26,69
2021-02-27,88
2021-02-28,92
2021-03-01,73
2021-03-02,69
2021-03-03,70
2021-03-04,67
2021-03-05,74
2021-03-06,92
2021-03-07,98
2021-03-08,65
2021-03-09,64
2021-03-10,65
2021-03-11,64
2021-03-12,78
2021-03-13,95
2021-03-14,100
2021-03-15,67
2021-03-16,62
2021-03-17,65
2021-03-18,66
2021-03-19,73
2021-03-20,92
2021-03-21,97
2021-03-22,71
2021-03-23,64
2021-03-24,66
2021-03-25,67
2021-03-26,72
2021-03-27,91
2021-03-28,94
2021-03-29,72
2021-03-30,67
2021-03-31,65
2021-04-01,75
2021-04-02,89
2021-04-03,93
2021-04-04,98
2021-04-05,80
2021-04-06,69
2021-04-07,65
2021-04-08,69
2021-04-09,72
2021-04-10,89
2021-04-11,94
2021-04-12,66
2021-04-13,66
2021-04-14,67
2021-04-15,66
2021-04-16,72
2021-04-17,90
2021-04-18,92
2021-04-19,66
2021-04-20,64
2021-04-21,69
2021-04-22,67
2021-04-23,77
2021-04-24,94
2021-04-25,100
2021-04-26,74
2021-04-27,66
2021-04-28,65
2021-04-29,67
2021-04-30,75
2021-05-01,100
2021-05-02,99
2021-05-03,76
2021-05-04,70
2021-05-05,68
2021-05-06,68
2021-05-07,76
2021-05-08,92
2021-05-09,93
