Date,daily_trend
2019-12-01,73
2019-12-02,76
2019-12-03,65
2019-12-04,58
2019-12-05,63
2019-12-06,61
2019-12-07,63
2019-12-08,63
2019-12-09,60
2019-12-10,59
2019-12-11,60
2019-12-12,59
2019-12-13,60
2019-12-14,66
2019-12-15,65
2019-12-16,62
2019-12-17,62
2019-12-18,58
2019-12-19,58
2019-12-20,62
2019-12-21,65
2019-12-22,67
2019-12-23,65
2019-12-24,73
2019-12-25,100
2019-12-26,89
2019-12-27,76
2019-12-28,71
2019-12-29,68
2019-12-30,65
2019-12-31,59
2020-01-01,94
2020-01-02,100
2020-01-03,95
2020-01-04,98
2020-01-05,96
2020-01-06,91
2020-01-07,89
2020-01-08,87
2020-01-09,86
2020-01-10,87
2020-01-11,91
2020-01-12,89
2020-01-13,83
2020-01-14,82
2020-01-15,85
2020-01-16,84
2020-01-17,86
2020-01-18,85
2020-01-19,85
2020-01-20,83
2020-01-21,83
2020-01-22,82
2020-01-23,80
2020-01-24,84
2020-01-25,86
2020-01-26,83
2020-01-27,78
2020-01-28,81
2020-01-29,82
2020-01-30,80
2020-01-31,79
2020-02-01,100
2020-02-02,100
2020-02-03,90
2020-02-04,95
2020-02-05,92
2020-02-06,92
2020-02-07,96
2020-02-08,100
2020-02-09,98
2020-02-10,92
2020-02-11,93
2020-02-12,92
2020-02-13,94
2020-02-14,93
2020-02-15,97
2020-02-16,96
2020-02-17,94
2020-02-18,98
2020-02-19,93
2020-02-20,94
2020-02-21,92
2020-02-22,98
2020-02-23,98
2020-02-24,95
2020-02-25,94
2020-02-26,92
2020-02-27,92
2020-02-28,96
2020-02-29,94
2020-03-01,91
2020-03-02,93
2020-03-03,96
2020-03-04,89
2020-03-05,89
2020-03-06,89
2020-03-07,92
2020-03-08,88
2020-03-09,93
2020-03-10,90
2020-03-11,85
2020-03-12,83
2020-03-13,83
2020-03-14,100
2020-03-15,93
2020-03-16,83
2020-03-17,85
2020-03-18,97
2020-03-19,94
2020-03-20,89
2020-03-21,95
2020-03-22,92
2020-03-23,86
2020-03-24,89
2020-03-25,91
2020-03-26,93
2020-03-27,94
2020-03-28,95
