Date,daily_trend
2019-12-01,0
2019-12-02,86
2019-12-03,58
2019-12-04,49
2019-12-05,69
2019-12-06,92
2019-12-07,23
2019-12-08,57
2019-12-09,89
2019-12-10,100
2019-12-11,69
2019-12-12,59
2019-12-13,82
2019-12-14,45
2019-12-15,33
2019-12-16,69
2019-12-17,99
2019-12-18,69
2019-12-19,91
2019-12-20,64
2019-12-21,0
2019-12-22,23
2019-12-23,75
2019-12-24,35
2019-12-25,12
2019-12-26,33
2019-12-27,86
2019-12-28,11
2019-12-29,0
2019-12-30,32
2019-12-31,34
2020-01-01,12
2020-01-02,40
2020-01-03,30
2020-01-04,5
2020-01-05,11
2020-01-06,34
2020-01-07,28
2020-01-08,47
2020-01-09,66
2020-01-10,34
2020-01-11,10
2020-01-12,5
2020-01-13,78
2020-01-14,46
2020-01-15,50
2020-01-16,43
2020-01-17,44
2020-01-18,10
2020-01-19,10
2020-01-20,75
2020-01-21,42
2020-01-22,47
2020-01-23,61
2020-01-24,44
2020-01-25,16
2020-01-26,10
2020-01-27,59
2020-01-28,55
2020-01-29,51
2020-01-30,47
2020-01-31,100
2020-02-01,16
2020-02-02,32
2020-02-03,93
2020-02-04,43
2020-02-05,93
2020-02-06,57
2020-02-07,66
2020-02-08,24
2020-02-09,8
2020-02-10,56
2020-02-11,42
2020-02-12,92
2020-02-13,100
2020-02-14,52
2020-02-15,24
2020-02-16,16
2020-02-17,58
2020-02-18,83
2020-02-19,90
2020-02-20,63
2020-02-21,51
2020-02-22,8
2020-02-23,16
2020-02-24,70
2020-02-25,49
2020-02-26,81
2020-02-27,69
2020-02-28,71
2020-02-29,0
2020-03-01,24
2020-03-02,37
2020-03-03,100
2020-03-04,79
2020-03-05,53
2020-03-06,44
2020-03-07,12
2020-03-08,12
2020-03-09,53
2020-03-10,63
2020-03-11,36
2020-03-12,26
2020-03-13,22
2020-03-14,18
2020-03-15,18
2020-03-16,41
2020-03-17,63
2020-03-18,26
2020-03-19,64
2020-03-20,47
2020-03-21,12
2020-03-22,17
2020-03-23,53
2020-03-24,26
2020-03-25,32
2020-03-26,58
2020-03-27,66
2020-03-28,11
2020-03-29,17
2020-03-30,44
2020-03-31,40
2020-04-01,18
2020-04-02,88
2020-04-03,73
2020-04-04,20
2020-04-05,0
2020-04-06,44
2020-04-07,72
2020-04-08,64
2020-04-09,74
2020-04-10,68
2020-04-11,31
2020-04-12,20
2020-04-13,46
2020-04-14,54
2020-04-15,63
2020-04-16,53
2020-04-17,9
2020-04-18,40
2020-04-19,51
2020-04-20,79
2020-04-21,53
2020-04-22,44
2020-04-23,78
2020-04-24,100
2020-04-25,31
2020-04-26,10
2020-04-27,88
2020-04-28,53
2020-04-29,78
2020-04-30,76
2020-05-01,100
2020-05-02,23
2020-05-03,23
2020-05-04,53
2020-05-05,62
2020-05-06,59
2020-05-07,41
2020-05-08,48
2020-05-09,15
2020-05-10,16
2020-05-11,47
2020-05-12,40
2020-05-13,95
2020-05-14,67
2020-05-15,63
2020-05-16,16
2020-05-17,15
2020-05-18,54
2020-05-19,87
2020-05-20,81
2020-05-21,21
2020-05-22,91
2020-05-23,16
2020-05-24,0
2020-05-25,50
2020-05-26,48
2020-05-27,41
2020-05-28,55
2020-05-29,28
2020-05-30,16
2020-05-31,8
2020-06-01,81
2020-06-02,73
2020-06-03,61
2020-06-04,61
2020-06-05,39
2020-06-06,0
2020-06-07,28
2020-06-08,61
2020-06-09,77
2020-06-10,72
2020-06-11,82
2020-06-12,52
2020-06-13,10
2020-06-14,19
2020-06-15,73
2020-06-16,56
2020-06-17,100
2020-06-18,82
2020-06-19,51
2020-06-20,0
2020-06-21,0
2020-06-22,67
2020-06-23,66
2020-06-24,51
2020-06-25,59
2020-06-26,79
2020-06-27,29
2020-06-28,28
2020-06-29,84
2020-06-30,50
2020-07-01,52
2020-07-02,7
2020-07-03,31
2020-07-04,0
2020-07-05,0
2020-07-06,59
2020-07-07,60
2020-07-08,82
2020-07-09,38
2020-07-10,31
2020-07-11,9
2020-07-12,17
2020-07-13,76
2020-07-14,76
2020-07-15,30
2020-07-16,69
2020-07-17,48
2020-07-18,9
2020-07-19,17
2020-07-20,54
2020-07-21,77
2020-07-22,62
2020-07-23,23
2020-07-24,40
2020-07-25,18
2020-07-26,18
2020-07-27,61
2020-07-28,61
2020-07-29,100
