Date,daily_trend
2019-12-01,100
2019-12-02,88
2019-12-03,83
2019-12-04,80
2019-12-05,78
2019-12-06,75
2019-12-07,77
2019-12-08,71
2019-12-09,71
2019-12-10,68
2019-12-11,67
2019-12-12,70
2019-12-13,74
2019-12-14,74
2019-12-15,68
2019-12-16,67
2019-12-17,69
2019-12-18,66
2019-12-19,72
2019-12-20,71
2019-12-21,70
2019-12-22,73
2019-12-23,86
2019-12-24,81
2019-12-25,84
2019-12-26,75
2019-12-27,81
2019-12-28,77
2019-12-29,74
2019-12-30,79
2019-12-31,71
2020-01-01,58
2020-01-02,67
2020-01-03,70
2020-01-04,66
2020-01-05,61
2020-01-06,61
2020-01-07,68
2020-01-08,67
2020-01-09,72
2020-01-10,65
2020-01-11,60
2020-01-12,58
2020-01-13,70
2020-01-14,74
2020-01-15,69
2020-01-16,67
2020-01-17,64
2020-01-18,55
2020-01-19,66
2020-01-20,60
2020-01-21,66
2020-01-22,78
2020-01-23,78
2020-01-24,69
2020-01-25,63
2020-01-26,54
2020-01-27,61
2020-01-28,61
2020-01-29,74
2020-01-30,100
2020-01-31,78
2020-02-01,39
2020-02-02,35
2020-02-03,53
2020-02-04,100
2020-02-05,97
2020-02-06,68
2020-02-07,52
2020-02-08,39
2020-02-09,36
2020-02-10,44
2020-02-11,42
2020-02-12,40
2020-02-13,45
2020-02-14,42
2020-02-15,37
2020-02-16,37
2020-02-17,38
2020-02-18,41
2020-02-19,49
2020-02-20,48
2020-02-21,44
2020-02-22,36
2020-02-23,34
2020-02-24,44
2020-02-25,44
2020-02-26,40
2020-02-27,42
2020-02-28,47
2020-02-29,37
2020-03-01,76
2020-03-02,92
2020-03-03,94
2020-03-04,85
2020-03-05,84
2020-03-06,91
2020-03-07,77
2020-03-08,69
2020-03-09,100
2020-03-10,95
2020-03-11,83
2020-03-12,96
2020-03-13,88
2020-03-14,67
2020-03-15,65
2020-03-16,85
2020-03-17,81
2020-03-18,92
2020-03-19,92
2020-03-20,85
2020-03-21,60
2020-03-22,57
2020-03-23,74
2020-03-24,74
2020-03-25,77
2020-03-26,74
2020-03-27,68
2020-03-28,54
2020-03-29,51
2020-03-30,58
2020-03-31,65
2020-04-01,71
2020-04-02,72
2020-04-03,80
2020-04-04,56
2020-04-05,53
2020-04-06,67
2020-04-07,69
2020-04-08,70
2020-04-09,67
2020-04-10,61
2020-04-11,56
2020-04-12,52
2020-04-13,69
2020-04-14,86
2020-04-15,81
2020-04-16,79
2020-04-17,73
2020-04-18,58
2020-04-19,61
2020-04-20,74
2020-04-21,78
2020-04-22,76
2020-04-23,68
2020-04-24,70
2020-04-25,61
2020-04-26,61
2020-04-27,76
2020-04-28,79
2020-04-29,92
2020-04-30,100
2020-05-01,100
2020-05-02,95
2020-05-03,65
2020-05-04,76
2020-05-05,77
2020-05-06,78
2020-05-07,73
2020-05-08,71
2020-05-09,67
2020-05-10,74
2020-05-11,78
2020-05-12,84
2020-05-13,73
2020-05-14,69
2020-05-15,70
2020-05-16,61
2020-05-17,62
2020-05-18,69
2020-05-19,64
2020-05-20,65
2020-05-21,62
2020-05-22,62
2020-05-23,64
2020-05-24,60
2020-05-25,62
2020-05-26,64
2020-05-27,95
2020-05-28,80
2020-05-29,71
2020-05-30,98
2020-05-31,92
2020-06-01,75
2020-06-02,67
2020-06-03,67
2020-06-04,66
2020-06-05,69
2020-06-06,67
2020-06-07,66
2020-06-08,78
2020-06-09,82
2020-06-10,100
2020-06-11,99
2020-06-12,84
2020-06-13,75
2020-06-14,71
2020-06-15,74
2020-06-16,82
2020-06-17,73
2020-06-18,70
2020-06-19,74
2020-06-20,69
2020-06-21,74
2020-06-22,70
2020-06-23,67
2020-06-24,73
2020-06-25,73
2020-06-26,69
2020-06-27,71
2020-06-28,67
2020-06-29,73
2020-06-30,81
2020-07-01,59
2020-07-02,74
2020-07-03,61
2020-07-04,46
2020-07-05,49
2020-07-06,78
2020-07-07,78
2020-07-08,66
2020-07-09,62
2020-07-10,76
2020-07-11,68
2020-07-12,61
2020-07-13,97
2020-07-14,92
2020-07-15,75
2020-07-16,70
2020-07-17,66
2020-07-18,56
2020-07-19,52
2020-07-20,67
2020-07-21,75
2020-07-22,100
2020-07-23,100
2020-07-24,82
2020-07-25,62
2020-07-26,55
2020-07-27,65
2020-07-28,66
2020-07-29,59
2020-07-30,58
2020-07-31,61
2020-08-01,38
2020-08-02,37
2020-08-03,45
2020-08-04,41
2020-08-05,39
2020-08-06,38
2020-08-07,40
2020-08-08,36
2020-08-09,36
2020-08-10,38
2020-08-11,44
2020-08-12,58
2020-08-13,52
2020-08-14,48
2020-08-15,43
2020-08-16,39
2020-08-17,55
2020-08-18,63
2020-08-19,57
2020-08-20,63
2020-08-21,70
2020-08-22,48
2020-08-23,42
2020-08-24,61
2020-08-25,55
2020-08-26,58
2020-08-27,62
2020-08-28,62
2020-08-29,50
2020-08-30,46
2020-08-31,100
2020-09-01,92
2020-09-02,83
2020-09-03,80
2020-09-04,79
2020-09-05,50
2020-09-06,41
2020-09-07,48
2020-09-08,86
2020-09-09,90
2020-09-10,72
2020-09-11,64
2020-09-12,45
2020-09-13,39
2020-09-14,58
2020-09-15,64
2020-09-16,60
2020-09-17,55
2020-09-18,55
2020-09-19,40
2020-09-20,39
2020-09-21,64
2020-09-22,100
2020-09-23,98
2020-09-24,69
2020-09-25,59
2020-09-26,42
2020-09-27,41
2020-09-28,52
2020-09-29,50
2020-09-30,48
2020-10-01,91
2020-10-02,100
2020-10-03,72
2020-10-04,71
2020-10-05,83
2020-10-06,83
2020-10-07,83
2020-10-08,80
2020-10-09,75
2020-10-10,63
2020-10-11,62
2020-10-12,75
2020-10-13,74
2020-10-14,80
2020-10-15,91
2020-10-16,88
2020-10-17,68
2020-10-18,65
2020-10-19,77
2020-10-20,79
2020-10-21,100
2020-10-22,98
2020-10-23,79
2020-10-24,62
2020-10-25,60
2020-10-26,71
2020-10-27,65
2020-10-28,71
2020-10-29,66
2020-10-30,68
2020-10-31,55
2020-11-01,45
2020-11-02,57
2020-11-03,56
2020-11-04,47
2020-11-05,52
2020-11-06,62
2020-11-07,52
2020-11-08,46
2020-11-09,64
2020-11-10,63
2020-11-11,56
2020-11-12,57
2020-11-13,60
2020-11-14,53
2020-11-15,51
2020-11-16,67
2020-11-17,100
2020-11-18,84
2020-11-19,85
2020-11-20,77
2020-11-21,52
2020-11-22,49
2020-11-23,74
2020-11-24,95
2020-11-25,90
2020-11-26,66
2020-11-27,74
2020-11-28,56
2020-11-29,52
2020-11-30,75
2020-12-01,82
2020-12-02,78
2020-12-03,82
2020-12-04,75
2020-12-05,59
2020-12-06,53
2020-12-07,81
2020-12-08,95
2020-12-09,93
2020-12-10,93
2020-12-11,80
2020-12-12,59
2020-12-13,56
2020-12-14,76
2020-12-15,78
2020-12-16,77
2020-12-17,77
2020-12-18,97
2020-12-19,72
2020-12-20,66
2020-12-21,100
2020-12-22,93
2020-12-23,92
2020-12-24,77
2020-12-25,67
2020-12-26,63
2020-12-27,66
2020-12-28,89
2020-12-29,87
2020-12-30,85
2020-12-31,89
2021-01-01,37
2021-01-02,38
2021-01-03,36
2021-01-04,47
2021-01-05,48
2021-01-06,49
2021-01-07,73
2021-01-08,100
2021-01-09,62
2021-01-10,53
