Date,daily_trend
2019-12-01,9
2019-12-02,30
2019-12-03,100
2019-12-04,23
2019-12-05,71
2019-12-06,81
2019-12-07,0
2019-12-08,18
2019-12-09,55
2019-12-10,48
2019-12-11,55
2019-12-12,39
2019-12-13,33
2019-12-14,27
2019-12-15,18
2019-12-16,79
2019-12-17,47
2019-12-18,31
2019-12-19,40
2019-12-20,25
2019-12-21,18
2019-12-22,0
2019-12-23,51
2019-12-24,37
2019-12-25,10
2019-12-26,9
2019-12-27,34
2019-12-28,9
2019-12-29,36
2019-12-30,33
2019-12-31,54
2020-01-01,9
2020-01-02,38
2020-01-03,60
2020-01-04,8
2020-01-05,16
2020-01-06,36
2020-01-07,86
2020-01-08,36
2020-01-09,43
2020-01-10,29
2020-01-11,32
2020-01-12,8
2020-01-13,46
2020-01-14,57
2020-01-15,49
2020-01-16,65
2020-01-17,66
2020-01-18,24
2020-01-19,16
2020-01-20,57
2020-01-21,85
2020-01-22,100
2020-01-23,28
2020-01-24,37
2020-01-25,16
2020-01-26,0
2020-01-27,42
2020-01-28,77
2020-01-29,42
2020-01-30,72
2020-01-31,58
2020-02-01,8
2020-02-02,8
2020-02-03,61
2020-02-04,44
2020-02-05,58
2020-02-06,15
2020-02-07,37
2020-02-08,41
2020-02-09,16
2020-02-10,56
2020-02-11,42
2020-02-12,100
2020-02-13,43
2020-02-14,45
2020-02-15,25
2020-02-16,32
2020-02-17,29
2020-02-18,84
2020-02-19,77
2020-02-20,70
2020-02-21,52
2020-02-22,32
2020-02-23,0
2020-02-24,71
2020-02-25,57
2020-02-26,68
2020-02-27,49
2020-02-28,29
2020-02-29,16
2020-03-01,0
2020-03-02,45
2020-03-03,38
2020-03-04,76
2020-03-05,53
2020-03-06,72
2020-03-07,53
2020-03-08,9
2020-03-09,85
2020-03-10,38
2020-03-11,90
2020-03-12,52
2020-03-13,55
2020-03-14,9
2020-03-15,18
2020-03-16,22
2020-03-17,30
2020-03-18,53
2020-03-19,100
2020-03-20,38
2020-03-21,8
2020-03-22,34
2020-03-23,28
2020-03-24,37
2020-03-25,46
2020-03-26,38
2020-03-27,44
2020-03-28,8
2020-03-29,0
2020-03-30,36
2020-03-31,43
2020-04-01,38
2020-04-02,98
2020-04-03,47
2020-04-04,0
2020-04-05,26
