Date,daily_trend
2019-12-01,69
2019-12-02,54
2019-12-03,50
2019-12-04,53
2019-12-05,46
2019-12-06,49
2019-12-07,53
2019-12-08,55
2019-12-09,45
2019-12-10,46
2019-12-11,47
2019-12-12,46
2019-12-13,48
2019-12-14,53
2019-12-15,57
2019-12-16,47
2019-12-17,51
2019-12-18,50
2019-12-19,51
2019-12-20,56
2019-12-21,64
2019-12-22,69
2019-12-23,72
2019-12-24,100
2019-12-25,79
2019-12-26,50
2019-12-27,51
2019-12-28,56
2019-12-29,54
2019-12-30,50
2019-12-31,53
2020-01-01,100
2020-01-02,83
2020-01-03,83
2020-01-04,85
2020-01-05,91
2020-01-06,72
2020-01-07,77
2020-01-08,73
2020-01-09,77
2020-01-10,80
2020-01-11,83
2020-01-12,90
2020-01-13,78
2020-01-14,76
2020-01-15,74
2020-01-16,74
2020-01-17,82
2020-01-18,89
2020-01-19,90
2020-01-20,83
2020-01-21,78
2020-01-22,78
2020-01-23,83
2020-01-24,77
2020-01-25,84
2020-01-26,89
2020-01-27,72
2020-01-28,74
2020-01-29,72
2020-01-30,71
2020-01-31,71
2020-02-01,87
2020-02-02,89
2020-02-03,73
2020-02-04,77
2020-02-05,73
2020-02-06,74
2020-02-07,75
2020-02-08,87
2020-02-09,93
2020-02-10,73
2020-02-11,80
2020-02-12,76
2020-02-13,78
2020-02-14,78
2020-02-15,85
2020-02-16,92
2020-02-17,78
2020-02-18,80
2020-02-19,82
2020-02-20,78
2020-02-21,80
2020-02-22,90
2020-02-23,100
2020-02-24,82
2020-02-25,81
2020-02-26,75
2020-02-27,78
2020-02-28,75
2020-02-29,84
2020-03-01,58
2020-03-02,50
2020-03-03,53
2020-03-04,53
2020-03-05,54
2020-03-06,66
2020-03-07,81
2020-03-08,70
2020-03-09,57
2020-03-10,57
2020-03-11,54
2020-03-12,53
2020-03-13,54
2020-03-14,100
2020-03-15,72
2020-03-16,50
2020-03-17,55
2020-03-18,49
2020-03-19,52
2020-03-20,53
2020-03-21,65
2020-03-22,68
2020-03-23,58
2020-03-24,58
2020-03-25,61
2020-03-26,60
2020-03-27,61
2020-03-28,78
2020-03-29,83
2020-03-30,66
2020-03-31,64
2020-04-01,63
2020-04-02,62
2020-04-03,64
2020-04-04,77
2020-04-05,78
2020-04-06,61
2020-04-07,62
2020-04-08,65
2020-04-09,70
2020-04-10,81
2020-04-11,99
2020-04-12,100
2020-04-13,74
2020-04-14,67
2020-04-15,67
2020-04-16,65
2020-04-17,70
2020-04-18,82
2020-04-19,86
2020-04-20,66
2020-04-21,69
2020-04-22,65
2020-04-23,65
2020-04-24,71
2020-04-25,80
2020-04-26,85
2020-04-27,64
2020-04-28,66
2020-04-29,66
2020-04-30,63
2020-05-01,78
2020-05-02,89
2020-05-03,89
2020-05-04,70
2020-05-05,68
2020-05-06,67
2020-05-07,69
2020-05-08,77
2020-05-09,93
2020-05-10,100
2020-05-11,68
2020-05-12,69
2020-05-13,69
2020-05-14,68
2020-05-15,67
2020-05-16,87
2020-05-17,86
2020-05-18,67
2020-05-19,66
2020-05-20,65
2020-05-21,73
2020-05-22,68
2020-05-23,83
2020-05-24,84
2020-05-25,73
2020-05-26,64
2020-05-27,64
2020-05-28,64
2020-05-29,60
2020-05-30,68
2020-05-31,72
2020-06-01,66
2020-06-02,64
2020-06-03,68
2020-06-04,70
2020-06-05,72
2020-06-06,83
2020-06-07,87
2020-06-08,71
2020-06-09,70
2020-06-10,70
2020-06-11,73
2020-06-12,76
2020-06-13,84
2020-06-14,90
2020-06-15,75
2020-06-16,75
2020-06-17,73
2020-06-18,77
2020-06-19,78
2020-06-20,100
2020-06-21,99
2020-06-22,64
2020-06-23,69
2020-06-24,68
2020-06-25,66
2020-06-26,67
2020-06-27,88
2020-06-28,93
2020-06-29,72
2020-06-30,69
2020-07-01,79
2020-07-02,80
2020-07-03,89
2020-07-04,100
2020-07-05,100
2020-07-06,77
2020-07-07,73
2020-07-08,79
2020-07-09,75
2020-07-10,76
2020-07-11,88
2020-07-12,94
2020-07-13,75
2020-07-14,77
2020-07-15,72
2020-07-16,73
2020-07-17,76
2020-07-18,87
2020-07-19,92
2020-07-20,74
2020-07-21,76
2020-07-22,74
2020-07-23,72
2020-07-24,78
2020-07-25,90
2020-07-26,91
2020-07-27,75
2020-07-28,75
2020-07-29,74
2020-07-30,74
2020-07-31,75
2020-08-01,100
2020-08-02,96
2020-08-03,81
2020-08-04,78
2020-08-05,72
2020-08-06,78
2020-08-07,83
2020-08-08,93
2020-08-09,100
2020-08-10,80
2020-08-11,76
2020-08-12,78
2020-08-13,76
2020-08-14,77
2020-08-15,89
2020-08-16,96
2020-08-17,76
2020-08-18,77
2020-08-19,84
2020-08-20,83
2020-08-21,84
2020-08-22,99
2020-08-23,94
2020-08-24,82
2020-08-25,84
2020-08-26,82
2020-08-27,76
2020-08-28,78
2020-08-29,92
2020-08-30,95
2020-08-31,80
2020-09-01,69
2020-09-02,72
2020-09-03,70
2020-09-04,70
2020-09-05,85
2020-09-06,90
2020-09-07,83
2020-09-08,71
2020-09-09,68
2020-09-10,76
2020-09-11,74
2020-09-12,85
2020-09-13,91
2020-09-14,71
2020-09-15,70
2020-09-16,72
2020-09-17,73
2020-09-18,73
2020-09-19,87
2020-09-20,92
2020-09-21,76
2020-09-22,76
2020-09-23,78
2020-09-24,76
2020-09-25,79
2020-09-26,90
2020-09-27,100
2020-09-28,75
2020-09-29,76
2020-09-30,74
2020-10-01,57
2020-10-02,62
2020-10-03,71
2020-10-04,78
2020-10-05,60
2020-10-06,59
2020-10-07,63
2020-10-08,70
2020-10-09,69
2020-10-10,91
2020-10-11,100
2020-10-12,80
2020-10-13,66
2020-10-14,64
2020-10-15,63
2020-10-16,63
2020-10-17,77
2020-10-18,82
2020-10-19,65
2020-10-20,63
2020-10-21,61
2020-10-22,63
2020-10-23,66
2020-10-24,80
2020-10-25,83
2020-10-26,62
2020-10-27,66
2020-10-28,62
2020-10-29,63
2020-10-30,63
2020-10-31,77
2020-11-01,26
2020-11-02,20
2020-11-03,21
2020-11-04,16
2020-11-05,18
2020-11-06,20
2020-11-07,24
2020-11-08,27
2020-11-09,22
2020-11-10,21
2020-11-11,23
2020-11-12,23
2020-11-13,22
2020-11-14,29
2020-11-15,30
2020-11-16,24
2020-11-17,26
2020-11-18,26
2020-11-19,28
2020-11-20,29
2020-11-21,39
2020-11-22,43
2020-11-23,39
