Date,daily_trend
2019-12-01,19
2019-12-02,44
2019-12-03,94
2019-12-04,100
2019-12-05,89
2019-12-06,70
2019-12-07,26
2019-12-08,11
2019-12-09,67
2019-12-10,75
2019-12-11,75
2019-12-12,65
2019-12-13,76
2019-12-14,25
2019-12-15,13
2019-12-16,54
2019-12-17,57
2019-12-18,67
2019-12-19,60
2019-12-20,59
2019-12-21,28
2019-12-22,15
2019-12-23,68
2019-12-24,26
2019-12-25,10
2019-12-26,52
2019-12-27,32
2019-12-28,22
2019-12-29,15
2019-12-30,70
2019-12-31,39
2020-01-01,10
2020-01-02,91
2020-01-03,64
2020-01-04,36
2020-01-05,21
2020-01-06,64
2020-01-07,92
2020-01-08,100
2020-01-09,95
2020-01-10,73
2020-01-11,32
2020-01-12,13
2020-01-13,61
2020-01-14,64
2020-01-15,63
2020-01-16,78
2020-01-17,75
2020-01-18,39
2020-01-19,30
2020-01-20,54
2020-01-21,93
2020-01-22,70
2020-01-23,78
2020-01-24,70
2020-01-25,19
2020-01-26,18
2020-01-27,69
2020-01-28,91
2020-01-29,89
2020-01-30,63
2020-01-31,77
2020-02-01,23
2020-02-02,10
2020-02-03,63
2020-02-04,55
2020-02-05,69
2020-02-06,69
2020-02-07,59
2020-02-08,23
2020-02-09,10
2020-02-10,68
2020-02-11,90
2020-02-12,79
2020-02-13,61
2020-02-14,58
2020-02-15,26
2020-02-16,15
2020-02-17,57
2020-02-18,63
2020-02-19,70
2020-02-20,71
2020-02-21,59
2020-02-22,16
2020-02-23,36
2020-02-24,83
2020-02-25,69
2020-02-26,100
2020-02-27,62
2020-02-28,70
2020-02-29,28
2020-03-01,15
2020-03-02,97
2020-03-03,84
2020-03-04,78
2020-03-05,93
2020-03-06,89
2020-03-07,27
2020-03-08,18
2020-03-09,100
2020-03-10,92
2020-03-11,77
2020-03-12,77
2020-03-13,73
2020-03-14,51
2020-03-15,31
2020-03-16,71
2020-03-17,76
2020-03-18,60
2020-03-19,84
2020-03-20,53
2020-03-21,28
2020-03-22,20
2020-03-23,79
2020-03-24,54
2020-03-25,78
2020-03-26,85
2020-03-27,75
2020-03-28,35
2020-03-29,20
2020-03-30,66
2020-03-31,81
2020-04-01,99
2020-04-02,84
2020-04-03,81
2020-04-04,28
2020-04-05,28
2020-04-06,93
2020-04-07,62
2020-04-08,73
2020-04-09,82
2020-04-10,80
2020-04-11,29
2020-04-12,29
2020-04-13,81
2020-04-14,89
2020-04-15,100
2020-04-16,74
2020-04-17,71
2020-04-18,31
2020-04-19,33
2020-04-20,78
2020-04-21,92
2020-04-22,83
2020-04-23,89
2020-04-24,74
2020-04-25,30
2020-04-26,23
2020-04-27,83
2020-04-28,95
2020-04-29,73
2020-04-30,79
2020-05-01,66
2020-05-02,22
2020-05-03,11
2020-05-04,78
2020-05-05,66
2020-05-06,84
2020-05-07,90
2020-05-08,73
2020-05-09,15
2020-05-10,15
2020-05-11,75
2020-05-12,99
2020-05-13,89
2020-05-14,87
2020-05-15,68
2020-05-16,31
2020-05-17,10
2020-05-18,74
2020-05-19,100
2020-05-20,77
2020-05-21,65
2020-05-22,88
2020-05-23,17
2020-05-24,14
2020-05-25,28
2020-05-26,85
2020-05-27,65
2020-05-28,70
2020-05-29,62
2020-05-30,30
2020-05-31,19
2020-06-01,74
2020-06-02,78
2020-06-03,83
2020-06-04,83
2020-06-05,65
2020-06-06,19
2020-06-07,16
2020-06-08,69
2020-06-09,76
2020-06-10,94
2020-06-11,97
2020-06-12,73
2020-06-13,24
2020-06-14,16
2020-06-15,68
2020-06-16,81
2020-06-17,80
2020-06-18,80
2020-06-19,92
2020-06-20,34
2020-06-21,15
2020-06-22,72
2020-06-23,83
2020-06-24,74
2020-06-25,80
2020-06-26,83
2020-06-27,24
