Date,CIZ_daily_trend
2019-12-01,28
2019-12-02,50
2019-12-03,43
2019-12-04,68
2019-12-05,52
2019-12-06,54
2019-12-07,10
2019-12-08,10
2019-12-09,52
2019-12-10,52
2019-12-11,51
2019-12-12,61
2019-12-13,27
2019-12-14,10
2019-12-15,58
2019-12-16,43
2019-12-17,52
2019-12-18,34
2019-12-19,44
2019-12-20,47
2019-12-21,70
2019-12-22,30
2019-12-23,28
2019-12-24,50
2019-12-25,53
2019-12-26,38
2019-12-27,47
2019-12-28,50
2019-12-29,50
2019-12-30,100
2019-12-31,50
2020-01-01,50
2020-01-02,95
2020-01-03,67
2020-01-04,54
2020-01-05,100
2020-01-06,41
2020-01-07,49
2020-01-08,56
2020-01-09,73
2020-01-10,50
2020-01-11,45
2020-01-12,18
2020-01-13,15
2020-01-14,70
2020-01-15,46
2020-01-16,73
2020-01-17,58
2020-01-18,54
2020-01-19,62
2020-01-20,24
2020-01-21,72
2020-01-22,16
2020-01-23,64
2020-01-24,58
2020-01-25,9
2020-01-26,18
2020-01-27,55
2020-01-28,47
2020-01-29,55
2020-01-30,56
2020-01-31,90
2020-02-01,30
2020-02-02,30
2020-02-03,100
2020-02-04,81
2020-02-05,33
2020-02-06,33
2020-02-07,35
2020-02-08,30
2020-02-09,37
2020-02-10,45
2020-02-11,53
2020-02-12,53
2020-02-13,93
2020-02-14,35
2020-02-15,53
2020-02-16,30
2020-02-17,40
2020-02-18,39
2020-02-19,46
2020-02-20,46
2020-02-21,48
2020-02-22,37
2020-02-23,37
2020-02-24,45
2020-02-25,53
2020-02-26,50
2020-02-27,26
2020-02-28,47
2020-02-29,29
2020-03-01,30
2020-03-02,89
2020-03-03,98
2020-03-04,62
2020-03-05,100
2020-03-06,9
2020-03-07,41
2020-03-08,20
2020-03-09,63
2020-03-10,90
2020-03-11,44
2020-03-12,70
2020-03-13,73
2020-03-14,10
2020-03-15,41
2020-03-16,53
2020-03-17,62
2020-03-18,54
2020-03-19,36
2020-03-20,53
2020-03-21,40
2020-03-22,29
2020-03-23,49
2020-03-24,61
2020-03-25,80
2020-03-26,89
2020-03-27,69
2020-03-28,29
2020-03-29,77
2020-03-30,42
2020-03-31,67
2020-04-01,29
2020-04-02,53
2020-04-03,18
2020-04-04,34
2020-04-05,13
2020-04-06,41
2020-04-07,24
2020-04-08,54
2020-04-09,25
2020-04-10,32
2020-04-11,7
2020-04-12,27
2020-04-13,55
2020-04-14,47
2020-04-15,23
2020-04-16,54
2020-04-17,42
2020-04-18,100
2020-04-19,27
2020-04-20,40
2020-04-21,59
2020-04-22,53
2020-04-23,40
2020-04-24,85
2020-04-25,20
2020-04-26,14
2020-04-27,30
2020-04-28,47
2020-04-29,83
2020-04-30,45
2020-05-01,66
2020-05-02,21
2020-05-03,36
2020-05-04,49
2020-05-05,12
2020-05-06,61
2020-05-07,31
2020-05-08,39
2020-05-09,29
2020-05-10,29
2020-05-11,68
2020-05-12,19
2020-05-13,44
2020-05-14,25
2020-05-15,45
2020-05-16,21
2020-05-17,21
2020-05-18,100
2020-05-19,44
2020-05-20,31
2020-05-21,20
2020-05-22,53
2020-05-23,29
2020-05-24,22
2020-05-25,74
2020-05-26,45
2020-05-27,32
2020-05-28,58
2020-05-29,46
2020-05-30,43
2020-05-31,29
2020-06-01,38
2020-06-02,86
2020-06-03,100
2020-06-04,63
2020-06-05,56
2020-06-06,33
2020-06-07,44
2020-06-08,81
2020-06-09,72
2020-06-10,86
2020-06-11,96
2020-06-12,61
2020-06-13,33
2020-06-14,33
2020-06-15,48
2020-06-16,38
2020-06-17,19
2020-06-18,29
2020-06-19,90
2020-06-20,45
2020-06-21,44
2020-06-22,59
2020-06-23,69
2020-06-24,70
2020-06-25,40
2020-06-26,82
2020-06-27,22
2020-06-28,43
2020-06-29,88
2020-06-30,20
2020-07-01,73
2020-07-02,55
2020-07-03,57
2020-07-04,51
2020-07-05,42
2020-07-06,45
2020-07-07,100
2020-07-08,55
2020-07-09,57
2020-07-10,67
2020-07-11,42
2020-07-12,32
2020-07-13,37
2020-07-14,56
2020-07-15,74
2020-07-16,74
2020-07-17,79
2020-07-18,32
2020-07-19,53
2020-07-20,66
2020-07-21,65
2020-07-22,47
2020-07-23,76
2020-07-24,39
2020-07-25,21
2020-07-26,65
2020-07-27,47
2020-07-28,56
2020-07-29,47
2020-07-30,75
2020-07-31,30
2020-08-01,31
2020-08-02,52
2020-08-03,27
2020-08-04,79
2020-08-05,54
2020-08-06,72
2020-08-07,28
2020-08-08,31
2020-08-09,10
2020-08-10,70
2020-08-11,35
2020-08-12,62
2020-08-13,79
2020-08-14,27
2020-08-15,31
2020-08-16,100
2020-08-17,54
2020-08-18,35
2020-08-19,53
2020-08-20,27
2020-08-21,45
2020-08-22,20
2020-08-23,30
2020-08-24,51
2020-08-25,26
2020-08-26,61
2020-08-27,60
2020-08-28,27
2020-08-29,30
2020-08-30,40
2020-08-31,34
2020-09-01,24
2020-09-02,100
2020-09-03,25
2020-09-04,34
2020-09-05,19
2020-09-06,10
2020-09-07,69
2020-09-08,41
2020-09-09,49
2020-09-10,90
2020-09-11,51
2020-09-12,48
2020-09-13,57
2020-09-14,57
2020-09-15,49
2020-09-16,16
2020-09-17,66
2020-09-18,60
2020-09-19,19
2020-09-20,19
2020-09-21,48
2020-09-22,32
2020-09-23,64
2020-09-24,57
2020-09-25,9
2020-09-26,39
2020-09-27,48
2020-09-28,67
2020-09-29,67
2020-09-30,25
2020-10-01,64
2020-10-02,25
2020-10-03,27
2020-10-04,18
2020-10-05,47
2020-10-06,48
2020-10-07,32
2020-10-08,40
2020-10-09,53
2020-10-10,87
2020-10-11,19
2020-10-12,51
2020-10-13,50
2020-10-14,41
2020-10-15,58
2020-10-16,97
2020-10-17,19
2020-10-18,48
2020-10-19,34
2020-10-20,50
2020-10-21,100
2020-10-22,77
2020-10-23,18
2020-10-24,66
2020-10-25,28
2020-10-26,50
2020-10-27,92
2020-10-28,99
2020-10-29,25
2020-10-30,17
2020-10-31,28
2020-11-01,64
2020-11-02,91
2020-11-03,100
2020-11-04,48
2020-11-05,80
2020-11-06,65
2020-11-07,95
2020-11-08,86
2020-11-09,77
2020-11-10,88
2020-11-11,44
2020-11-12,79
2020-11-13,70
2020-11-14,51
2020-11-15,50
2020-11-16,67
2020-11-17,66
2020-11-18,68
2020-11-19,68
2020-11-20,81
2020-11-21,38
2020-11-22,62
2020-11-23,45
2020-11-24,67
2020-11-25,33
2020-11-26,68
2020-11-27,11
2020-11-28,74
2020-11-29,24
2020-11-30,87
2020-12-01,57
2020-12-02,57
2020-12-03,58
2020-12-04,17
2020-12-05,65
2020-12-06,94
2020-12-07,41
2020-12-08,58
2020-12-09,25
2020-12-10,76
2020-12-11,52
2020-12-12,65
2020-12-13,47
2020-12-14,83
2020-12-15,50
2020-12-16,51
2020-12-17,34
2020-12-18,45
2020-12-19,29
2020-12-20,47
2020-12-21,35
2020-12-22,35
2020-12-23,36
2020-12-24,40
2020-12-25,43
2020-12-26,20
2020-12-27,28
2020-12-28,70
2020-12-29,44
2020-12-30,100
2020-12-31,29
2021-01-01,42
2021-01-02,48
2021-01-03,28
2021-01-04,51
2021-01-05,87
2021-01-06,84
2021-01-07,42
2021-01-08,51
2021-01-09,37
2021-01-10,28
2021-01-11,65
2021-01-12,76
2021-01-13,76
2021-01-14,26
2021-01-15,26
2021-01-16,66
2021-01-17,28
2021-01-18,93
2021-01-19,57
2021-01-20,100
2021-01-21,76
2021-01-22,60
2021-01-23,94
2021-01-24,65
2021-01-25,33
2021-01-26,34
2021-01-27,17
2021-01-28,8
2021-01-29,26
2021-01-30,19
2021-01-31,19
2021-02-01,49
2021-02-02,56
2021-02-03,65
2021-02-04,82
2021-02-05,8
2021-02-06,9
2021-02-07,27
2021-02-08,57
2021-02-09,88
2021-02-10,16
2021-02-11,33
2021-02-12,52
2021-02-13,46
2021-02-14,37
2021-02-15,66
2021-02-16,33
2021-02-17,25
2021-02-18,66
2021-02-19,34
2021-02-20,9
2021-02-21,28
2021-02-22,71
2021-02-23,49
2021-02-24,40
2021-02-25,89
2021-02-26,83
2021-02-27,18
2021-02-28,100
2021-03-01,36
2021-03-02,52
2021-03-03,44
2021-03-04,44
2021-03-05,30
2021-03-06,33
2021-03-07,42
2021-03-08,52
2021-03-09,15
2021-03-10,66
2021-03-11,30
2021-03-12,54
