Date,daily_trend
2019-12-01,43
2019-12-02,66
2019-12-03,77
2019-12-04,65
2019-12-05,64
2019-12-06,56
2019-12-07,26
2019-12-08,42
2019-12-09,65
2019-12-10,69
2019-12-11,90
2019-12-12,58
2019-12-13,100
2019-12-14,50
2019-12-15,34
2019-12-16,47
2019-12-17,61
2019-12-18,59
2019-12-19,49
2019-12-20,95
2019-12-21,62
2019-12-22,38
2019-12-23,40
2019-12-24,51
2019-12-25,10
2019-12-26,52
2019-12-27,58
2019-12-28,57
2019-12-29,45
2019-12-30,62
2019-12-31,75
2020-01-01,34
2020-01-02,92
2020-01-03,83
2020-01-04,40
2020-01-05,59
2020-01-06,82
2020-01-07,61
2020-01-08,69
2020-01-09,63
2020-01-10,100
2020-01-11,28
2020-01-12,40
2020-01-13,60
2020-01-14,70
2020-01-15,53
2020-01-16,52
2020-01-17,63
2020-01-18,40
2020-01-19,49
2020-01-20,46
2020-01-21,59
2020-01-22,69
2020-01-23,59
2020-01-24,76
2020-01-25,59
2020-01-26,30
2020-01-27,53
2020-01-28,62
2020-01-29,60
2020-01-30,61
2020-01-31,73
2020-02-01,65
2020-02-02,58
2020-02-03,64
2020-02-04,69
2020-02-05,70
2020-02-06,87
2020-02-07,82
2020-02-08,70
2020-02-09,32
2020-02-10,66
2020-02-11,58
2020-02-12,64
2020-02-13,63
2020-02-14,70
2020-02-15,65
2020-02-16,44
2020-02-17,68
2020-02-18,64
2020-02-19,60
2020-02-20,82
2020-02-21,97
2020-02-22,29
2020-02-23,61
2020-02-24,67
2020-02-25,53
2020-02-26,100
2020-02-27,98
2020-02-28,99
2020-02-29,72
2020-03-01,66
2020-03-02,73
2020-03-03,70
2020-03-04,66
2020-03-05,79
2020-03-06,73
2020-03-07,67
2020-03-08,34
2020-03-09,70
2020-03-10,86
2020-03-11,95
2020-03-12,100
2020-03-13,88
2020-03-14,44
2020-03-15,16
2020-03-16,63
2020-03-17,35
2020-03-18,72
2020-03-19,56
2020-03-20,89
2020-03-21,31
2020-03-22,35
2020-03-23,48
2020-03-24,43
2020-03-25,29
2020-03-26,38
2020-03-27,67
2020-03-28,35
2020-03-29,30
2020-03-30,53
2020-03-31,39
2020-04-01,67
2020-04-02,87
2020-04-03,84
2020-04-04,50
2020-04-05,43
2020-04-06,56
2020-04-07,46
2020-04-08,92
2020-04-09,54
2020-04-10,71
2020-04-11,31
2020-04-12,31
2020-04-13,66
2020-04-14,78
2020-04-15,61
2020-04-16,65
2020-04-17,100
2020-04-18,28
2020-04-19,36
2020-04-20,46
2020-04-21,69
2020-04-22,40
2020-04-23,68
2020-04-24,26
2020-04-25,34
2020-04-26,38
2020-04-27,57
2020-04-28,42
2020-04-29,39
2020-04-30,60
2020-05-01,79
2020-05-02,71
2020-05-03,45
2020-05-04,73
2020-05-05,99
2020-05-06,57
2020-05-07,78
2020-05-08,68
2020-05-09,38
2020-05-10,32
2020-05-11,60
2020-05-12,88
