Date,daily_trend
2019-12-01,80
2019-12-02,97
2019-12-03,89
2019-12-04,90
2019-12-05,95
2019-12-06,93
2019-12-07,77
2019-12-08,69
2019-12-09,77
2019-12-10,81
2019-12-11,90
2019-12-12,76
2019-12-13,78
2019-12-14,85
2019-12-15,65
2019-12-16,86
2019-12-17,84
2019-12-18,88
2019-12-19,77
2019-12-20,91
2019-12-21,82
2019-12-22,69
2019-12-23,75
2019-12-24,74
2019-12-25,57
2019-12-26,93
2019-12-27,100
2019-12-28,79
2019-12-29,75
2019-12-30,90
2019-12-31,85
2020-01-01,61
2020-01-02,70
2020-01-03,82
2020-01-04,73
2020-01-05,57
2020-01-06,63
2020-01-07,59
2020-01-08,70
2020-01-09,65
2020-01-10,66
2020-01-11,63
2020-01-12,51
2020-01-13,66
2020-01-14,71
2020-01-15,71
2020-01-16,70
2020-01-17,66
2020-01-18,68
2020-01-19,64
2020-01-20,68
2020-01-21,69
2020-01-22,69
2020-01-23,100
2020-01-24,74
2020-01-25,68
2020-01-26,57
2020-01-27,66
2020-01-28,67
2020-01-29,66
2020-01-30,63
2020-01-31,60
2020-02-01,100
2020-02-02,80
2020-02-03,96
2020-02-04,98
2020-02-05,97
2020-02-06,95
2020-02-07,97
2020-02-08,92
2020-02-09,78
2020-02-10,90
2020-02-11,92
2020-02-12,96
2020-02-13,93
2020-02-14,97
2020-02-15,88
2020-02-16,81
2020-02-17,98
2020-02-18,90
2020-02-19,98
2020-02-20,86
2020-02-21,95
2020-02-22,90
2020-02-23,79
2020-02-24,97
2020-02-25,97
2020-02-26,95
2020-02-27,96
2020-02-28,98
2020-02-29,91
2020-03-01,62
2020-03-02,75
2020-03-03,80
2020-03-04,78
2020-03-05,68
2020-03-06,69
2020-03-07,75
2020-03-08,56
2020-03-09,75
2020-03-10,71
2020-03-11,67
2020-03-12,75
2020-03-13,82
2020-03-14,79
2020-03-15,79
2020-03-16,95
2020-03-17,100
2020-03-18,98
2020-03-19,91
2020-03-20,96
2020-03-21,79
2020-03-22,79
2020-03-23,95
2020-03-24,96
2020-03-25,93
2020-03-26,93
2020-03-27,93
2020-03-28,75
2020-03-29,73
2020-03-30,95
2020-03-31,95
2020-04-01,100
2020-04-02,94
2020-04-03,94
2020-04-04,74
2020-04-05,61
2020-04-06,84
2020-04-07,88
2020-04-08,80
2020-04-09,85
2020-04-10,90
2020-04-11,73
2020-04-12,60
2020-04-13,95
2020-04-14,83
2020-04-15,82
2020-04-16,80
2020-04-17,88
2020-04-18,68
2020-04-19,67
2020-04-20,78
2020-04-21,79
2020-04-22,81
2020-04-23,78
2020-04-24,82
2020-04-25,66
2020-04-26,59
2020-04-27,82
2020-04-28,77
2020-04-29,79
2020-04-30,82
2020-05-01,100
2020-05-02,79
2020-05-03,75
2020-05-04,94
2020-05-05,91
2020-05-06,87
2020-05-07,96
2020-05-08,87
2020-05-09,81
2020-05-10,67
2020-05-11,84
2020-05-12,97
2020-05-13,89
2020-05-14,84
