Date,daily_trend
2019-12-01,16
2019-12-02,87
2019-12-03,69
2019-12-04,59
2019-12-05,45
2019-12-06,63
2019-12-07,56
2019-12-08,29
2019-12-09,65
2019-12-10,60
2019-12-11,39
2019-12-12,100
2019-12-13,26
2019-12-14,28
2019-12-15,6
2019-12-16,40
2019-12-17,45
2019-12-18,49
2019-12-19,36
2019-12-20,54
2019-12-21,40
2019-12-22,23
2019-12-23,27
2019-12-24,17
2019-12-25,25
2019-12-26,71
2019-12-27,27
2019-12-28,51
2019-12-29,23
2019-12-30,26
2019-12-31,40
2020-01-01,55
2020-01-02,54
2020-01-03,94
2020-01-04,21
2020-01-05,50
2020-01-06,72
2020-01-07,83
2020-01-08,38
2020-01-09,76
2020-01-10,97
2020-01-11,100
2020-01-12,28
2020-01-13,41
2020-01-14,83
2020-01-15,37
2020-01-16,70
2020-01-17,91
2020-01-18,64
2020-01-19,56
2020-01-20,45
2020-01-21,31
2020-01-22,51
2020-01-23,50
2020-01-24,46
2020-01-25,57
2020-01-26,41
2020-01-27,55
2020-01-28,25
2020-01-29,18
2020-01-30,76
2020-01-31,70
2020-02-01,44
2020-02-02,33
2020-02-03,64
2020-02-04,30
2020-02-05,24
2020-02-06,49
2020-02-07,41
2020-02-08,67
2020-02-09,33
2020-02-10,42
2020-02-11,24
2020-02-12,53
2020-02-13,68
2020-02-14,71
2020-02-15,28
2020-02-16,49
2020-02-17,29
2020-02-18,29
2020-02-19,29
2020-02-20,33
2020-02-21,35
2020-02-22,21
2020-02-23,27
2020-02-24,28
2020-02-25,29
2020-02-26,46
2020-02-27,47
2020-02-28,48
2020-02-29,100
2020-03-01,21
2020-03-02,55
2020-03-03,67
2020-03-04,73
2020-03-05,100
2020-03-06,64
2020-03-07,63
2020-03-08,35
2020-03-09,85
2020-03-10,79
2020-03-11,79
2020-03-12,77
2020-03-13,87
2020-03-14,48
2020-03-15,21
2020-03-16,84
2020-03-17,54
2020-03-18,43
2020-03-19,67
2020-03-20,78
2020-03-21,60
2020-03-22,40
2020-03-23,80
2020-03-24,77
2020-03-25,67
2020-03-26,30
2020-03-27,46
2020-03-28,65
2020-03-29,53
2020-03-30,81
2020-03-31,40
2020-04-01,74
2020-04-02,74
2020-04-03,75
2020-04-04,61
2020-04-05,31
2020-04-06,66
2020-04-07,34
2020-04-08,75
2020-04-09,42
2020-04-10,36
2020-04-11,54
2020-04-12,15
2020-04-13,69
2020-04-14,100
2020-04-15,80
2020-04-16,81
2020-04-17,69
2020-04-18,53
2020-04-19,54
2020-04-20,27
2020-04-21,66
2020-04-22,47
2020-04-23,52
2020-04-24,75
2020-04-25,23
2020-04-26,8
2020-04-27,61
2020-04-28,20
2020-04-29,59
2020-04-30,71
2020-05-01,70
2020-05-02,25
2020-05-03,13
2020-05-04,22
2020-05-05,61
2020-05-06,27
2020-05-07,28
2020-05-08,56
2020-05-09,12
2020-05-10,44
2020-05-11,55
2020-05-12,27
2020-05-13,93
2020-05-14,92
2020-05-15,40
