Week,Apple: (Worldwide)
2020-01-05,62
2020-01-12,62
2020-01-19,57
2020-01-26,57
2020-02-02,54
2020-02-09,56
2020-02-16,57
2020-02-23,55
2020-03-01,56
2020-03-08,54
2020-03-15,53
2020-03-22,55
2020-03-29,55
2020-04-05,54
2020-04-12,66
2020-04-19,63
2020-04-26,60
2020-05-03,61
2020-05-10,64
2020-05-17,61
2020-05-24,61
2020-05-31,60
2020-06-07,63
2020-06-14,61
2020-06-21,68
2020-06-28,63
2020-07-05,63
2020-07-12,64
2020-07-19,63
2020-07-26,64
2020-08-02,64
2020-08-09,67
2020-08-16,66
2020-08-23,68
2020-08-30,70
2020-09-06,69
2020-09-13,93
2020-09-20,78
2020-09-27,68
2020-10-04,65
2020-10-11,98
2020-10-18,70
2020-10-25,71
2020-11-01,65
2020-11-08,78
2020-11-15,77
2020-11-22,86
2020-11-29,80
2020-12-06,75
2020-12-13,76
2020-12-20,84
2020-12-27,79
2021-01-03,71
2021-01-10,66
2021-01-17,63
2021-01-24,65
2021-01-31,64
2021-02-07,59
2021-02-14,56
2021-02-21,57
2021-02-28,58
2021-03-07,59
2021-03-14,57
2021-03-21,56
2021-03-28,55
2021-04-04,54
2021-04-11,54
2021-04-18,64
2021-04-25,61
2021-05-02,58
2021-05-09,55
2021-05-16,57
2021-05-23,56
2021-05-30,57
2021-06-06,62
2021-06-13,57
2021-06-20,58
2021-06-27,55
2021-07-04,57
2021-07-11,59
2021-07-18,59
2021-07-25,59
2021-08-01,59
2021-08-08,59
2021-08-15,59
2021-08-22,58
2021-08-29,62
2021-09-05,64
2021-09-12,100
2021-09-19,75
2021-09-26,71
2021-10-03,72
2021-10-10,73
2021-10-17,86
