Date,COST_daily_trend
2019-12-01,81
2019-12-02,71
2019-12-03,60
2019-12-04,52
2019-12-05,50
2019-12-06,55
2019-12-07,65
2019-12-08,68
2019-12-09,53
2019-12-10,50
2019-12-11,53
2019-12-12,52
2019-12-13,55
2019-12-14,71
2019-12-15,73
2019-12-16,58
2019-12-17,57
2019-12-18,53
2019-12-19,58
2019-12-20,61
2019-12-21,79
2019-12-22,84
2019-12-23,81
2019-12-24,100
2019-12-25,48
2019-12-26,67
2019-12-27,62
2019-12-28,63
2019-12-29,66
2019-12-30,61
2019-12-31,78
2020-01-01,100
2020-01-02,75
2020-01-03,72
2020-01-04,87
2020-01-05,90
2020-01-06,63
2020-01-07,59
2020-01-08,57
2020-01-09,56
2020-01-10,61
2020-01-11,76
2020-01-12,79
2020-01-13,57
2020-01-14,60
2020-01-15,53
2020-01-16,54
2020-01-17,60
2020-01-18,74
2020-01-19,79
2020-01-20,76
2020-01-21,61
2020-01-22,55
2020-01-23,55
2020-01-24,59
2020-01-25,78
2020-01-26,80
2020-01-27,60
2020-01-28,55
2020-01-29,54
2020-01-30,57
2020-01-31,61
2020-02-01,87
2020-02-02,84
2020-02-03,58
2020-02-04,61
2020-02-05,59
2020-02-06,60
2020-02-07,63
2020-02-08,85
2020-02-09,84
2020-02-10,61
2020-02-11,60
2020-02-12,66
2020-02-13,64
2020-02-14,67
2020-02-15,82
2020-02-16,93
2020-02-17,85
2020-02-18,62
2020-02-19,59
2020-02-20,62
2020-02-21,65
2020-02-22,83
2020-02-23,87
2020-02-24,66
2020-02-25,64
2020-02-26,62
2020-02-27,65
2020-02-28,74
2020-02-29,100
2020-03-01,71
2020-03-02,52
2020-03-03,50
2020-03-04,49
2020-03-05,47
2020-03-06,52
2020-03-07,67
2020-03-08,65
2020-03-09,51
2020-03-10,49
2020-03-11,52
2020-03-12,65
2020-03-13,88
2020-03-14,100
2020-03-15,85
2020-03-16,74
2020-03-17,73
2020-03-18,75
2020-03-19,77
2020-03-20,79
2020-03-21,85
2020-03-22,77
2020-03-23,67
2020-03-24,66
2020-03-25,62
2020-03-26,63
2020-03-27,61
2020-03-28,71
2020-03-29,69
2020-03-30,62
2020-03-31,64
2020-04-01,81
2020-04-02,85
2020-04-03,86
2020-04-04,100
2020-04-05,92
2020-04-06,82
2020-04-07,78
2020-04-08,82
2020-04-09,86
2020-04-10,90
2020-04-11,92
2020-04-12,76
2020-04-13,83
2020-04-14,78
2020-04-15,84
2020-04-16,83
2020-04-17,84
2020-04-18,94
2020-04-19,89
2020-04-20,76
2020-04-21,73
2020-04-22,74
2020-04-23,75
2020-04-24,74
2020-04-25,91
2020-04-26,89
2020-04-27,76
2020-04-28,77
2020-04-29,80
2020-04-30,79
2020-05-01,85
2020-05-02,97
2020-05-03,100
2020-05-04,84
2020-05-05,81
2020-05-06,77
2020-05-07,81
2020-05-08,86
2020-05-09,98
2020-05-10,86
2020-05-11,73
2020-05-12,74
2020-05-13,75
2020-05-14,74
2020-05-15,79
2020-05-16,93
2020-05-17,94
2020-05-18,79
2020-05-19,75
2020-05-20,80
2020-05-21,82
2020-05-22,87
2020-05-23,100
2020-05-24,96
2020-05-25,98
2020-05-26,82
2020-05-27,77
2020-05-28,75
2020-05-29,80
2020-05-30,90
2020-05-31,90
2020-06-01,83
2020-06-02,78
2020-06-03,78
2020-06-04,75
2020-06-05,76
2020-06-06,99
2020-06-07,98
2020-06-08,80
2020-06-09,73
2020-06-10,76
2020-06-11,79
2020-06-12,82
2020-06-13,97
2020-06-14,96
2020-06-15,80
2020-06-16,80
2020-06-17,81
2020-06-18,77
2020-06-19,85
2020-06-20,97
2020-06-21,92
2020-06-22,81
2020-06-23,81
2020-06-24,87
2020-06-25,82
2020-06-26,83
2020-06-27,100
2020-06-28,100
2020-06-29,85
2020-06-30,81
2020-07-01,80
2020-07-02,80
2020-07-03,96
2020-07-04,100
2020-07-05,91
2020-07-06,78
2020-07-07,76
2020-07-08,77
2020-07-09,79
2020-07-10,76
2020-07-11,91
2020-07-12,92
2020-07-13,74
2020-07-14,70
2020-07-15,72
2020-07-16,72
2020-07-17,74
2020-07-18,88
2020-07-19,90
2020-07-20,70
2020-07-21,75
2020-07-22,72
2020-07-23,71
2020-07-24,77
2020-07-25,85
2020-07-26,89
2020-07-27,71
2020-07-28,70
2020-07-29,70
2020-07-30,74
2020-07-31,79
2020-08-01,87
2020-08-02,100
2020-08-03,81
2020-08-04,73
2020-08-05,74
2020-08-06,71
2020-08-07,72
2020-08-08,86
2020-08-09,86
2020-08-10,73
2020-08-11,69
2020-08-12,67
2020-08-13,66
2020-08-14,71
2020-08-15,83
2020-08-16,87
2020-08-17,68
2020-08-18,62
2020-08-19,67
2020-08-20,66
2020-08-21,67
2020-08-22,87
2020-08-23,83
2020-08-24,67
2020-08-25,62
2020-08-26,62
2020-08-27,61
2020-08-28,69
2020-08-29,82
2020-08-30,85
2020-08-31,66
2020-09-01,67
2020-09-02,73
2020-09-03,71
2020-09-04,77
2020-09-05,91
2020-09-06,100
2020-09-07,99
2020-09-08,70
2020-09-09,66
2020-09-10,65
2020-09-11,68
2020-09-12,93
2020-09-13,90
2020-09-14,72
2020-09-15,67
2020-09-16,65
2020-09-17,68
2020-09-18,70
2020-09-19,86
2020-09-20,88
2020-09-21,67
2020-09-22,71
2020-09-23,69
2020-09-24,72
2020-09-25,73
2020-09-26,87
2020-09-27,91
2020-09-28,72
2020-09-29,66
2020-09-30,65
2020-10-01,71
2020-10-02,77
2020-10-03,91
2020-10-04,96
2020-10-05,73
2020-10-06,69
2020-10-07,67
2020-10-08,69
2020-10-09,79
2020-10-10,91
2020-10-11,98
2020-10-12,85
2020-10-13,78
2020-10-14,75
2020-10-15,75
2020-10-16,78
2020-10-17,94
2020-10-18,97
2020-10-19,77
2020-10-20,71
2020-10-21,72
2020-10-22,75
2020-10-23,78
2020-10-24,100
2020-10-25,95
2020-10-26,78
2020-10-27,78
2020-10-28,74
2020-10-29,76
2020-10-30,86
2020-10-31,96
2020-11-01,77
2020-11-02,61
2020-11-03,56
2020-11-04,43
2020-11-05,49
2020-11-06,54
2020-11-07,70
2020-11-08,75
2020-11-09,64
2020-11-10,64
2020-11-11,72
2020-11-12,78
2020-11-13,74
2020-11-14,96
2020-11-15,96
2020-11-16,75
2020-11-17,72
2020-11-18,71
2020-11-19,72
2020-11-20,80
2020-11-21,93
2020-11-22,100
2020-11-23,84
2020-11-24,79
2020-11-25,75
2020-11-26,82
2020-11-27,99
2020-11-28,95
2020-11-29,87
2020-11-30,82
2020-12-01,76
2020-12-02,69
2020-12-03,72
2020-12-04,75
2020-12-05,93
2020-12-06,94
2020-12-07,80
2020-12-08,73
2020-12-09,73
2020-12-10,74
2020-12-11,77
2020-12-12,94
2020-12-13,92
2020-12-14,74
2020-12-15,76
2020-12-16,72
2020-12-17,69
2020-12-18,76
2020-12-19,91
2020-12-20,99
2020-12-21,84
2020-12-22,83
2020-12-23,90
2020-12-24,100
2020-12-25,65
2020-12-26,96
2020-12-27,87
2020-12-28,78
2020-12-29,80
2020-12-30,81
2020-12-31,97
2021-01-01,100
2021-01-02,93
2021-01-03,91
2021-01-04,73
2021-01-05,72
2021-01-06,62
2021-01-07,61
2021-01-08,65
2021-01-09,82
2021-01-10,89
2021-01-11,64
2021-01-12,63
2021-01-13,65
2021-01-14,62
2021-01-15,67
2021-01-16,82
2021-01-17,90
2021-01-18,80
2021-01-19,62
2021-01-20,57
2021-01-21,62
2021-01-22,68
2021-01-23,87
2021-01-24,90
2021-01-25,67
2021-01-26,62
2021-01-27,60
2021-01-28,61
2021-01-29,63
2021-01-30,88
2021-01-31,85
2021-02-01,72
2021-02-02,70
2021-02-03,70
2021-02-04,74
2021-02-05,75
2021-02-06,95
2021-02-07,89
2021-02-08,67
2021-02-09,69
2021-02-10,67
2021-02-11,68
2021-02-12,73
2021-02-13,94
2021-02-14,91
2021-02-15,84
2021-02-16,69
2021-02-17,68
2021-02-18,72
2021-02-19,72
2021-02-20,89
2021-02-21,97
2021-02-22,68
2021-02-23,67
2021-02-24,68
2021-02-25,70
2021-02-26,79
2021-02-27,97
2021-02-28,100
2021-03-01,77
2021-03-02,76
2021-03-03,71
2021-03-04,72
